date,symbol,mean_change_pct,max_high_price,min_low_price,median_volume
2020-01-01,AIA,,8.9400,4.1700,571341
2020-01-02,AIA,2.1251,8.9400,4.1700,571341
2020-01-05,AIA,1.1561,8.9400,4.1700,571341
2020-01-06,AIA,0.8000,8.9400,4.1700,571341
2020-01-07,AIA,0.9070,8.9400,4.1700,571341
2020-01-08,AIA,-2.3596,8.9400,4.1700,571341
2020-01-09,AIA,-1.7261,8.9400,4.1700,571341
2020-01-12,AIA,0.1171,8.9400,4.1700,571341
2020-01-13,AIA,1.4035,8.9400,4.1700,571341
2020-01-14,AIA,0.6920,8.9400,4.1700,571341
2020-01-15,AIA,-0.1145,8.9400,4.1700,571341
2020-01-16,AIA,0.6881,8.9400,4.1700,571341
2020-01-19,AIA,-0.3417,8.9400,4.1700,571341
2020-01-20,AIA,-1.3714,8.9400,4.1700,571341
2020-01-21,AIA,0.1159,8.9400,4.1700,571341
2020-01-22,AIA,-0.6944,8.9400,4.1700,571341
2020-01-23,AIA,0.3497,8.9400,4.1700,571341
2020-01-27,AIA,-3.7166,8.9400,4.1700,571341
2020-01-28,AIA,0.8444,8.9400,4.1700,571341
2020-01-29,AIA,-1.4354,8.9400,4.1700,571341
2020-01-30,AIA,1.2136,8.9400,4.1700,571341
2020-02-02,AIA,-2.9976,8.9400,4.1700,571341
2020-02-03,AIA,-1.3597,8.9400,4.1700,571341
2020-02-04,AIA,2.5063,8.9400,4.1700,571341
2020-02-05,AIA,0.2445,8.9400,4.1700,571341
2020-02-06,AIA,2.1951,8.9400,4.1700,571341
2020-02-09,AIA,-1.5513,8.9400,4.1700,571341
2020-02-10,AIA,-0.3636,8.9400,4.1700,571341
2020-02-11,AIA,0.0000,8.9400,4.1700,571341
2020-02-12,AIA,-0.4866,8.9400,4.1700,571341
2020-02-13,AIA,-0.7335,8.9400,4.1700,571341
2020-02-16,AIA,-0.9852,8.9400,4.1700,571341
2020-02-17,AIA,0.2488,8.9400,4.1700,571341
2020-02-18,AIA,-0.7444,8.9400,4.1700,571341
2020-02-19,AIA,2.2500,8.9400,4.1700,571341
2020-02-20,AIA,0.6112,8.9400,4.1700,571341
2020-02-23,AIA,-3.6452,8.9400,4.1700,571341
2020-02-24,AIA,0.2522,8.9400,4.1700,571341
2020-02-25,AIA,-1.8868,8.9400,4.1700,571341
2020-02-26,AIA,-0.8974,8.9400,4.1700,571341
2020-02-27,AIA,-1.2937,8.9400,4.1700,571341
2020-03-01,AIA,-4.5872,8.9400,4.1700,571341
2020-03-02,AIA,2.7473,8.9400,4.1700,571341
2020-03-03,AIA,-2.0053,8.9400,4.1700,571341
2020-03-04,AIA,2.5921,8.9400,4.1700,571341
2020-03-05,AIA,0.9309,8.9400,4.1700,571341
2020-03-08,AIA,-2.8986,8.9400,4.1700,571341
2020-03-09,AIA,0.9498,8.9400,4.1700,571341
2020-03-10,AIA,-1.6129,8.9400,4.1700,571341
2020-03-11,AIA,-7.1038,8.9400,4.1700,571341
2020-03-12,AIA,-1.6176,8.9400,4.1700,571341
2020-03-15,AIA,-23.7668,8.9400,4.1700,571341
2020-03-16,AIA,-0.9804,8.9400,4.1700,571341
2020-03-17,AIA,-0.9901,8.9400,4.1700,571341
2020-03-18,AIA,-10.2000,8.9400,4.1700,571341
2020-03-19,AIA,10.2450,8.9400,4.1700,571341
2020-03-22,AIA,-9.0909,8.9400,4.1700,571341
2020-03-23,AIA,7.1111,8.9400,4.1700,571341
2020-03-24,AIA,14.9378,8.9400,4.1700,571341
2020-03-25,AIA,5.4152,8.9400,4.1700,571341
2020-03-26,AIA,-6.8493,8.9400,4.1700,571341
2020-03-29,AIA,-5.3309,8.9400,4.1700,571341
2020-03-30,AIA,-3.8835,8.9400,4.1700,571341
2020-03-31,AIA,4.2424,8.9400,4.1700,571341
2020-04-01,AIA,-2.9070,8.9400,4.1700,571341
2020-04-02,AIA,-2.7944,8.9400,4.1700,571341
2020-04-06,AIA,0.0000,8.9400,4.1700,571341
2020-04-07,AIA,9.2402,8.9400,4.1700,571341
2020-04-08,AIA,0.0000,8.9400,4.1700,571341
2020-04-09,AIA,4.6992,8.9400,4.1700,571341
2020-04-14,AIA,0.7181,8.9400,4.1700,571341
2020-04-15,AIA,0.8913,8.9400,4.1700,571341
2020-04-16,AIA,-0.7067,8.9400,4.1700,571341
2020-04-17,AIA,4.9822,8.9400,4.1700,571341
2020-04-20,AIA,-4.0678,8.9400,4.1700,571341
2020-04-21,AIA,-1.4134,8.9400,4.1700,571341
2020-04-22,AIA,-2.1505,8.9400,4.1700,571341
2020-04-23,AIA,-1.4652,8.9400,4.1700,571341
2020-04-24,AIA,0.3717,8.9400,4.1700,571341
2020-04-27,AIA,3.8889,8.9400,4.1700,571341
2020-04-28,AIA,2.1390,8.9400,4.1700,571341
2020-04-29,AIA,-2.2688,8.9400,4.1700,571341
2020-04-30,AIA,2.5000,8.9400,4.1700,571341
2020-05-01,AIA,-2.7875,8.9400,4.1700,571341
2020-05-04,AIA,-0.5376,8.9400,4.1700,571341
2020-05-05,AIA,0.7207,8.9400,4.1700,571341
2020-05-06,AIA,-1.7889,8.9400,4.1700,571341
2020-05-07,AIA,-1.8215,8.9400,4.1700,571341
2020-05-08,AIA,-0.7421,8.9400,4.1700,571341
2020-05-11,AIA,5.2336,8.9400,4.1700,571341
2020-05-12,AIA,-3.1972,8.9400,4.1700,571341
2020-05-13,AIA,-0.5505,8.9400,4.1700,571341
2020-05-14,AIA,-2.2140,8.9400,4.1700,571341
2020-05-15,AIA,0.3774,8.9400,4.1700,571341
2020-05-18,AIA,-2.6316,8.9400,4.1700,571341
2020-05-19,AIA,3.0888,8.9400,4.1700,571341
2020-05-20,AIA,1.6854,8.9400,4.1700,571341
2020-05-21,AIA,-2.3941,8.9400,4.1700,571341
2020-05-22,AIA,2.2642,8.9400,4.1700,571341
2020-05-25,AIA,4.2435,8.9400,4.1700,571341
2020-05-26,AIA,5.8407,8.9400,4.1700,571341
2020-05-27,AIA,2.3411,8.9400,4.1700,571341
2020-05-28,AIA,-1.6340,8.9400,4.1700,571341
2020-05-29,AIA,0.3322,8.9400,4.1700,571341
2020-06-01,AIA,-0.3311,8.9400,4.1700,571341
2020-06-02,AIA,1.3289,8.9400,4.1700,571341
2020-06-03,AIA,4.9180,8.9400,4.1700,571341
2020-06-04,AIA,2.3438,8.9400,4.1700,571341
2020-06-05,AIA,-1.8321,8.9400,4.1700,571341
2020-06-09,AIA,1.5552,8.9400,4.1700,571341
2020-06-10,AIA,-0.7657,8.9400,4.1700,571341
2020-06-11,AIA,-3.0864,8.9400,4.1700,571341
2020-06-12,AIA,-2.5478,8.9400,4.1700,571341
2020-06-15,AIA,-2.4510,8.9400,4.1700,571341
2020-06-16,AIA,2.1776,8.9400,4.1700,571341
2020-06-17,AIA,3.9344,8.9400,4.1700,571341
2020-06-18,AIA,-2.3659,8.9400,4.1700,571341
2020-06-19,AIA,1.6155,8.9400,4.1700,571341
2020-06-22,AIA,-1.9078,8.9400,4.1700,571341
2020-06-23,AIA,-1.1345,8.9400,4.1700,571341
2020-06-24,AIA,-2.7869,8.9400,4.1700,571341
2020-06-25,AIA,-1.1804,8.9400,4.1700,571341
2020-06-26,AIA,-0.5119,8.9400,4.1700,571341
2020-06-29,AIA,0.5146,8.9400,4.1700,571341
2020-06-30,AIA,5.1195,8.9400,4.1700,571341
2020-07-01,AIA,-2.7597,8.9400,4.1700,571341
2020-07-02,AIA,0.3339,8.9400,4.1700,571341
2020-07-03,AIA,0.9983,8.9400,4.1700,571341
2020-07-06,AIA,-1.4827,8.9400,4.1700,571341
2020-07-07,AIA,-0.3344,8.9400,4.1700,571341
2020-07-08,AIA,-0.1678,8.9400,4.1700,571341
2020-07-09,AIA,-1.1765,8.9400,4.1700,571341
2020-07-10,AIA,-1.0204,8.9400,4.1700,571341
2020-07-13,AIA,-0.8591,8.9400,4.1700,571341
2020-07-14,AIA,-2.2530,8.9400,4.1700,571341
2020-07-15,AIA,1.9504,8.9400,4.1700,571341
2020-07-16,AIA,1.7391,8.9400,4.1700,571341
2020-07-17,AIA,-0.6838,8.9400,4.1700,571341
2020-07-20,AIA,-0.5164,8.9400,4.1700,571341
2020-07-21,AIA,3.9792,8.9400,4.1700,571341
2020-07-22,AIA,-0.4992,8.9400,4.1700,571341
2020-07-23,AIA,-1.1706,8.9400,4.1700,571341
2020-07-24,AIA,-0.1692,8.9400,4.1700,571341
2020-07-27,AIA,0.5085,8.9400,4.1700,571341
2020-07-28,AIA,-3.2040,8.9400,4.1700,571341
2020-07-29,AIA,0.0000,8.9400,4.1700,571341
2020-07-30,AIA,-1.0453,8.9400,4.1700,571341
2020-07-31,AIA,2.6408,8.9400,4.1700,571341
2020-08-03,AIA,-0.1715,8.9400,4.1700,571341
2020-08-04,AIA,-0.5155,8.9400,4.1700,571341
2020-08-05,AIA,-1.2090,8.9400,4.1700,571341
2020-08-06,AIA,1.3986,8.9400,4.1700,571341
2020-08-07,AIA,0.1724,8.9400,4.1700,571341
2020-08-10,AIA,-1.2048,8.9400,4.1700,571341
2020-08-11,AIA,1.2195,8.9400,4.1700,571341
2020-08-12,AIA,0.1721,8.9400,4.1700,571341
2020-08-13,AIA,-1.2027,8.9400,4.1700,571341
2020-08-14,AIA,-0.8696,8.9400,4.1700,571341
2020-08-17,AIA,-0.3509,8.9400,4.1700,571341
2020-08-18,AIA,0.8803,8.9400,4.1700,571341
2020-08-19,AIA,1.3962,8.9400,4.1700,571341
2020-08-20,AIA,0.8606,8.9400,4.1700,571341
2020-08-21,AIA,2.9010,8.9400,4.1700,571341
2020-08-24,AIA,0.6633,8.9400,4.1700,571341
2020-08-25,AIA,0.8237,8.9400,4.1700,571341
2020-08-26,AIA,-1.7974,8.9400,4.1700,571341
2020-08-27,AIA,0.9983,8.9400,4.1700,571341
2020-08-28,AIA,0.3295,8.9400,4.1700,571341
2020-08-31,AIA,0.0000,8.9400,4.1700,571341
2020-09-01,AIA,0.1642,8.9400,4.1700,571341
2020-09-02,AIA,1.4754,8.9400,4.1700,571341
2020-09-03,AIA,4.0388,8.9400,4.1700,571341
2020-09-04,AIA,2.6398,8.9400,4.1700,571341
2020-09-07,AIA,-1.5129,8.9400,4.1700,571341
2020-09-08,AIA,-0.3072,8.9400,4.1700,571341
2020-09-09,AIA,-0.7704,8.9400,4.1700,571341
2020-09-10,AIA,1.2422,8.9400,4.1700,571341
2020-09-11,AIA,-0.6135,8.9400,4.1700,571341
2020-09-14,AIA,0.4630,8.9400,4.1700,571341
2020-09-15,AIA,0.3072,8.9400,4.1700,571341
2020-09-16,AIA,0.4594,8.9400,4.1700,571341
2020-09-17,AIA,-1.3720,8.9400,4.1700,571341
2020-09-18,AIA,0.3091,8.9400,4.1700,571341
2020-09-21,AIA,0.0000,8.9400,4.1700,571341
2020-09-22,AIA,-0.9245,8.9400,4.1700,571341
2020-09-23,AIA,3.1104,8.9400,4.1700,571341
2020-09-24,AIA,-2.2624,8.9400,4.1700,571341
2020-09-25,AIA,0.6173,8.9400,4.1700,571341
2020-09-28,AIA,2.4540,8.9400,4.1700,571341
2020-09-29,AIA,0.8982,8.9400,4.1700,571341
2020-09-30,AIA,-0.4451,8.9400,4.1700,571341
2020-10-01,AIA,0.8942,8.9400,4.1700,571341
2020-10-02,AIA,0.0000,8.9400,4.1700,571341
2020-10-04,AIA,0.1477,8.9400,4.1700,571341
2020-10-05,AIA,0.0000,8.9400,4.1700,571341
2020-10-06,AIA,2.5074,8.9400,4.1700,571341
2020-10-07,AIA,0.2878,8.9400,4.1700,571341
2020-10-08,AIA,0.2869,8.9400,4.1700,571341
2020-10-11,AIA,-1.5737,8.9400,4.1700,571341
2020-10-12,AIA,0.2907,8.9400,4.1700,571341
2020-10-13,AIA,-0.2899,8.9400,4.1700,571341
2020-10-14,AIA,0.1453,8.9400,4.1700,571341
2020-10-15,AIA,-2.3222,8.9400,4.1700,571341
2020-10-18,AIA,1.0401,8.9400,4.1700,571341
2020-10-19,AIA,0.2941,8.9400,4.1700,571341
2020-10-20,AIA,-1.3196,8.9400,4.1700,571341
2020-10-21,AIA,2.0802,8.9400,4.1700,571341
2020-10-22,AIA,0.1456,8.9400,4.1700,571341
2020-10-25,AIA,-0.5814,8.9400,4.1700,571341
2020-10-26,AIA,-0.7310,8.9400,4.1700,571341
2020-10-27,AIA,-0.1473,8.9400,4.1700,571341
2020-10-28,AIA,-2.3599,8.9400,4.1700,571341
2020-10-29,AIA,-1.2085,8.9400,4.1700,571341
2020-11-01,AIA,0.1529,8.9400,4.1700,571341
2020-11-02,AIA,2.1374,8.9400,4.1700,571341
2020-11-03,AIA,0.5979,8.9400,4.1700,571341
2020-11-04,AIA,-0.4458,8.9400,4.1700,571341
2020-11-05,AIA,-0.1493,8.9400,4.1700,571341
2020-11-08,AIA,1.0463,8.9400,4.1700,571341
2020-11-09,AIA,5.6213,8.9400,4.1700,571341
2020-11-10,AIA,1.5406,8.9400,4.1700,571341
2020-11-11,AIA,-1.3793,8.9400,4.1700,571341
2020-11-12,AIA,1.5385,8.9400,4.1700,571341
2020-11-15,AIA,0.6887,8.9400,4.1700,571341
2020-11-16,AIA,0.5472,8.9400,4.1700,571341
2020-11-17,AIA,-0.6803,8.9400,4.1700,571341
2020-11-18,AIA,0.1370,8.9400,4.1700,571341
2020-11-19,AIA,-0.1368,8.9400,4.1700,571341
2020-11-22,AIA,-0.1370,8.9400,4.1700,571341
2020-11-23,AIA,0.8230,8.9400,4.1700,571341
2020-11-24,AIA,0.8163,8.9400,4.1700,571341
2020-11-25,AIA,0.0000,8.9400,4.1700,571341
2020-11-26,AIA,-0.8097,8.9400,4.1700,571341
2020-11-29,AIA,-0.5442,8.9400,4.1700,571341
2020-11-30,AIA,1.2312,8.9400,4.1700,571341
2020-12-01,AIA,0.5405,8.9400,4.1700,571341
2020-12-02,AIA,-1.3441,8.9400,4.1700,571341
2020-12-03,AIA,-0.2725,8.9400,4.1700,571341
2020-12-06,AIA,1.7760,8.9400,4.1700,571341
2020-12-07,AIA,1.3423,8.9400,4.1700,571341
2020-12-08,AIA,2.5166,8.9400,4.1700,571341
2020-12-09,AIA,-0.1292,8.9400,4.1700,571341
2020-12-10,AIA,-1.8111,8.9400,4.1700,571341
2020-12-13,AIA,-1.5810,8.9400,4.1700,571341
2020-12-14,AIA,-0.1339,8.9400,4.1700,571341
2020-12-15,AIA,0.0000,8.9400,4.1700,571341
2020-12-16,AIA,1.6086,8.9400,4.1700,571341
2020-12-17,AIA,-2.6385,8.9400,4.1700,571341
2020-12-20,AIA,-1.8970,8.9400,4.1700,571341
2020-12-21,AIA,-1.1050,8.9400,4.1700,571341
2020-12-22,AIA,0.2793,8.9400,4.1700,571341
2020-12-23,AIA,0.0000,8.9400,4.1700,571341
2020-12-28,AIA,0.8357,8.9400,4.1700,571341
2020-12-29,AIA,0.0000,8.9400,4.1700,571341
2020-12-30,AIA,-0.9669,8.9400,4.1700,571341
2021-01-03,AIA,-0.8368,8.9400,4.1700,571341
2021-01-04,AIA,0.7032,8.9400,4.1700,571341
2021-01-05,AIA,0.6983,8.9400,4.1700,571341
2021-01-06,AIA,1.1096,8.9400,4.1700,571341
2021-01-07,AIA,2.0576,8.9400,4.1700,571341
2021-01-10,AIA,-1.2097,8.9400,4.1700,571341
2021-01-11,AIA,-2.5850,8.9400,4.1700,571341
2021-01-12,AIA,-1.5363,8.9400,4.1700,571341
2021-01-13,AIA,0.7092,8.9400,4.1700,571341
2021-01-14,AIA,-1.4085,8.9400,4.1700,571341
2021-01-17,AIA,-2.8571,8.9400,4.1700,571341
2021-01-18,AIA,-0.8824,8.9400,4.1700,571341
2021-01-19,AIA,1.3353,8.9400,4.1700,571341
2021-01-20,AIA,1.0249,8.9400,4.1700,571341
2021-01-21,AIA,-0.7246,8.9400,4.1700,571341
2021-01-24,AIA,0.1460,8.9400,4.1700,571341
2021-01-26,AIA,-1.7493,8.9400,4.1700,571341
2021-01-27,AIA,-0.8902,8.9400,4.1700,571341
2021-01-28,AIA,2.2455,8.9400,4.1700,571341
2021-01-31,AIA,0.8785,8.9400,4.1700,571341
2021-02-01,AIA,0.5806,8.9400,4.1700,571341
2021-02-02,AIA,1.5873,8.9400,4.1700,571341
2021-02-03,AIA,-3.2670,8.9400,4.1700,571341
2021-02-04,AIA,-0.1468,8.9400,4.1700,571341
2021-02-07,AIA,0.0000,8.9400,4.1700,571341
2021-02-08,AIA,-2.2059,8.9400,4.1700,571341
2021-02-09,AIA,0.3008,8.9400,4.1700,571341
2021-02-10,AIA,-1.3493,8.9400,4.1700,571341
2021-02-11,AIA,-1.9757,8.9400,4.1700,571341
2021-02-14,AIA,-1.7054,8.9400,4.1700,571341
2021-02-15,AIA,2.5237,8.9400,4.1700,571341
2021-02-16,AIA,-0.3077,8.9400,4.1700,571341
2021-02-17,AIA,-2.0062,8.9400,4.1700,571341
2021-02-18,AIA,-1.2598,8.9400,4.1700,571341
2021-02-21,AIA,1.2759,8.9400,4.1700,571341
2021-02-22,AIA,3.9370,8.9400,4.1700,571341
2021-02-23,AIA,4.0909,8.9400,4.1700,571341
2021-02-24,AIA,0.5822,8.9400,4.1700,571341
2021-02-25,AIA,1.8813,8.9400,4.1700,571341
2021-02-28,AIA,1.7045,8.9400,4.1700,571341
2021-03-01,AIA,-3.6313,8.9400,4.1700,571341
2021-03-02,AIA,-1.3043,8.9400,4.1700,571341
2021-03-03,AIA,-2.3495,8.9400,4.1700,571341
2021-03-04,AIA,0.0000,8.9400,4.1700,571341
2021-03-07,AIA,-1.2030,8.9400,4.1700,571341
2021-03-08,AIA,-0.7610,8.9400,4.1700,571341
2021-03-09,AIA,1.2270,8.9400,4.1700,571341
2021-03-10,AIA,1.0606,8.9400,4.1700,571341
2021-03-11,AIA,4.0480,8.9400,4.1700,571341
2021-03-14,AIA,2.8818,8.9400,4.1700,571341
2021-03-15,AIA,0.8403,8.9400,4.1700,571341
2021-03-16,AIA,0.1389,8.9400,4.1700,571341
2021-03-17,AIA,-0.2774,8.9400,4.1700,571341
2021-03-18,AIA,-2.2253,8.9400,4.1700,571341
2021-03-21,AIA,0.4267,8.9400,4.1700,571341
2021-03-22,AIA,-1.4164,8.9400,4.1700,571341
2021-03-23,AIA,-1.4368,8.9400,4.1700,571341
2021-03-24,AIA,1.1662,8.9400,4.1700,571341
2021-03-25,AIA,-3.1700,8.9400,4.1700,571341
2021-03-28,AIA,0.2976,8.9400,4.1700,571341
2021-03-29,AIA,2.8190,8.9400,4.1700,571341
2021-03-30,AIA,2.3088,8.9400,4.1700,571341
2021-03-31,AIA,-0.2821,8.9400,4.1700,571341
2021-04-06,AIA,1.1315,8.9400,4.1700,571341
2021-04-07,AIA,0.0000,8.9400,4.1700,571341
2021-04-08,AIA,-0.6993,8.9400,4.1700,571341
2021-04-09,AIA,0.0000,8.9400,4.1700,571341
2021-04-12,AIA,0.5634,8.9400,4.1700,571341
2021-04-13,AIA,-1.1204,8.9400,4.1700,571341
2021-04-14,AIA,0.4249,8.9400,4.1700,571341
2021-04-15,AIA,-1.5515,8.9400,4.1700,571341
2021-04-16,AIA,-0.8596,8.9400,4.1700,571341
2021-04-19,AIA,2.3121,8.9400,4.1700,571341
2021-04-20,AIA,-0.4237,8.9400,4.1700,571341
2021-04-21,AIA,-0.2837,8.9400,4.1700,571341
2021-04-22,AIA,0.1422,8.9400,4.1700,571341
2021-04-23,AIA,-1.4205,8.9400,4.1700,571341
2021-04-26,AIA,-1.0086,8.9400,4.1700,571341
2021-04-27,AIA,-0.7278,8.9400,4.1700,571341
2021-04-28,AIA,0.2933,8.9400,4.1700,571341
2021-04-29,AIA,2.1930,8.9400,4.1700,571341
2021-04-30,AIA,1.7167,8.9400,4.1700,571341
2021-05-03,AIA,-1.1252,8.9400,4.1700,571341
2021-05-04,AIA,1.5647,8.9400,4.1700,571341
2021-05-05,AIA,0.4202,8.9400,4.1700,571341
2021-05-06,AIA,-1.6736,8.9400,4.1700,571341
2021-05-07,AIA,-0.5674,8.9400,4.1700,571341
2021-05-10,AIA,0.2853,8.9400,4.1700,571341
2021-05-11,AIA,0.8535,8.9400,4.1700,571341
2021-05-12,AIA,0.9873,8.9400,4.1700,571341
2021-05-13,AIA,-4.0503,8.9400,4.1700,571341
2021-05-14,AIA,-0.2911,8.9400,4.1700,571341
2021-05-17,AIA,0.8759,8.9400,4.1700,571341
2021-05-18,AIA,0.4342,8.9400,4.1700,571341
2021-05-19,AIA,-1.8732,8.9400,4.1700,571341
2021-05-20,AIA,2.2026,8.9400,4.1700,571341
2021-05-21,AIA,-0.7184,8.9400,4.1700,571341
2021-05-24,AIA,-2.0260,8.9400,4.1700,571341
2021-05-25,AIA,0.5908,8.9400,4.1700,571341
2021-05-26,AIA,-1.9090,8.9400,4.1700,571341
2021-05-27,AIA,0.2994,8.9400,4.1700,571341
2021-05-28,AIA,1.7910,8.9400,4.1700,571341
2021-05-31,AIA,0.4399,8.9400,4.1700,571341
2021-06-01,AIA,0.8759,8.9400,4.1700,571341
2020-01-01,ALL,,42.1000,14.8100,1695955
2020-01-02,ALL,-1.1696,42.1000,14.8100,1695955
2020-01-05,ALL,1.3609,42.1000,14.8100,1695955
2020-01-06,ALL,0.2627,42.1000,14.8100,1695955
2020-01-07,ALL,-0.4367,42.1000,14.8100,1695955
2020-01-08,ALL,2.3977,42.1000,14.8100,1695955
2020-01-09,ALL,0.8852,42.1000,14.8100,1695955
2020-01-12,ALL,0.9341,42.1000,14.8100,1695955
2020-01-13,ALL,0.0280,42.1000,14.8100,1695955
2020-01-14,ALL,0.9251,42.1000,14.8100,1695955
2020-01-15,ALL,2.3333,42.1000,14.8100,1695955
